UPenn, Claudia Cohen Hall, Cafeteria 1, 28, 181, dining_table
UPenn, Houston Hall, Reception Hall, 125, 229, round_table_small
UPenn, Houston Hall, Reading Room, 144, 230, armchair
UPenn, Houston Hall, Reception Hall, 115, 231, candelabra
UPenn, Houston Hall, Chess Room, 151, 231, food_bowl
UPenn, Houston Hall, Chess Room, 155, 231, basket_fruit
UPenn, Houston Hall, Reception Hall, 104, 232, cushion_cream
UPenn, Houston Hall, Reception Hall, 109, 232, cushion_red
UPenn, Houston Hall, Reception Hall, 122, 232, cushion_cream
UPenn, Houston Hall, Reception Hall, 127, 232, cushion_red
UPenn, Houston Hall, Billiard Room, 82, 233, dining_table
UPenn, Houston Hall, Billiard Room, 88, 233, dining_table
UPenn, Houston Hall, Billiard Room, 94, 233, dining_table
UPenn, Houston Hall, Reception Hall, 136, 236, sofa
UPenn, Houston Hall, Chess Room, 159, 234, plant
UPenn, Houston Hall, Billiard Room, 82, 235, plant
UPenn, Houston Hall, Reception Hall, 102, 235, plant
UPenn, Houston Hall, Reading Room, 144, 238, armchair
UPenn, Houston Hall, Correspond, 151, 239, inkwell
UPenn, Houston Hall, Correspond, 154, 239, quill_ink
UPenn, Houston Hall, Correspond, 157, 239, bookshelf_tan
UPenn, Houston Hall, Shuffle Board Room, 99, 239, plant
UPenn, Houston Hall, Ladies Parlor, 103, 239, piano_upright
UPenn, Houston Hall, Secretarys Office, 125, 240, bookshelf
UPenn, Houston Hall, Shuffle Board Room, 88, 242, dining_table
UPenn, Houston Hall, Shuffle Board Room, 94, 242, dining_table
UPenn, Houston Hall, Ladies Parlor, 109, 242, sofa
UPenn, Houston Hall, Correspond, 151, 243, inkwell
UPenn, Houston Hall, Correspond, 154, 243, quill_ink
UPenn, Houston Hall, Reading Room, 144, 245, armchair
UPenn, Houston Hall, Shuffle Board Room, 81, 246, stool_wood
UPenn, Houston Hall, lobby, 119, 249, plant
UPenn, Houston Hall, Secretarys Office, 138, 245, plant
UPenn, Houston Hall, Correspond, 151, 247, inkwell
UPenn, Houston Hall, Correspond, 154, 247, quill_ink
UPenn, Irvine Auditorium, Stage, 194, 213, lantern
UPenn, Irvine Auditorium, Stage, 183, 213, candelabra
UPenn, Irvine Auditorium, Stage, 208, 213, candelabra
UPenn, Irvine Auditorium, Stage, 184, 219, music_stand
UPenn, Irvine Auditorium, Stage, 190, 217, music_stand
UPenn, Irvine Auditorium, Stage, 195, 217, music_stand
UPenn, Irvine Auditorium, Stage, 200, 217, music_stand
UPenn, Irvine Auditorium, Stage, 205, 217, music_stand
UPenn, Irvine Auditorium, Stage, 209, 219, music_stand
UPenn, Irvine Auditorium, Stage, 210, 220, plant_large
UPenn, Irvine Auditorium, West Foyer, 179, 222, lantern
UPenn, Irvine Auditorium, West Foyer, 184, 222, plant
UPenn, Irvine Auditorium, East Foyer, 210, 222, plant
UPenn, Irvine Auditorium, East Foyer, 211, 222, lantern
UPenn, Irvine Auditorium, Auditorium, 191, 223, chair_wood
UPenn, Irvine Auditorium, Auditorium, 203, 223, chair_wood
UPenn, Irvine Auditorium, East Foyer, 211, 224, sofa
UPenn, Irvine Auditorium, West Foyer, 180, 225, armchair
UPenn, Irvine Auditorium, Auditorium, 191, 225, chair_wood
UPenn, Irvine Auditorium, Auditorium, 203, 225, chair_wood
UPenn, Irvine Auditorium, East Foyer, 214, 225, armchair
UPenn, Irvine Auditorium, West Foyer, 179, 225, side_table
UPenn, Irvine Auditorium, East Foyer, 213, 225, side_table
UPenn, Irvine Auditorium, Auditorium, 191, 227, chair_wood
UPenn, Irvine Auditorium, Auditorium, 203, 227, chair_wood
UPenn, Irvine Auditorium, West Foyer, 180, 228, armchair_orange
UPenn, Irvine Auditorium, East Foyer, 214, 228, armchair_orange
UPenn, Irvine Auditorium, Auditorium, 191, 229, chair_wood
UPenn, Irvine Auditorium, Auditorium, 203, 229, chair_wood
UPenn, Irvine Auditorium, West Foyer, 177, 230, sofa
UPenn, Irvine Auditorium, East Foyer, 211, 230, sofa
UPenn, Irvine Auditorium, West Foyer, 180, 230, round_table_small
UPenn, Irvine Auditorium, Auditorium, 191, 231, chair_wood
UPenn, Irvine Auditorium, Auditorium, 203, 231, chair_wood
UPenn, Irvine Auditorium, East Foyer, 214, 230, round_table_small
UPenn, Irvine Auditorium, Auditorium, 191, 233, chair_wood
UPenn, Irvine Auditorium, Auditorium, 203, 233, chair_wood
UPenn, Irvine Auditorium, Auditorium, 191, 235, chair_wood
UPenn, Irvine Auditorium, Auditorium, 203, 235, chair_wood
UPenn, Irvine Auditorium, West Foyer, 175, 235, plant
UPenn, Irvine Auditorium, West Foyer, 185, 235, plant
UPenn, Irvine Auditorium, East Foyer, 209, 235, plant
UPenn, Irvine Auditorium, Lobby, 181, 238, plant
UPenn, Irvine Auditorium, Lobby, 189, 238, lantern
UPenn, Irvine Auditorium, Lobby, 201, 238, lantern
UPenn, Irvine Auditorium, Lobby, 209, 240, plant
UPenn, Irvine Auditorium, Lobby, 181, 239, counter
UPenn, Irvine Auditorium, Lobby, 186, 245, sofa
UPenn, Irvine Auditorium, Lobby, 206, 245, sofa
UPenn, Irvine Auditorium, Lobby, 180, 246, plant
UPenn, Irvine Auditorium, Lobby, 211, 246, plant
UPenn, Van Pelt Library, 126, 30, 22, blackboard
UPenn, Van Pelt Library, 126, 32, 20, locker
UPenn, Van Pelt Library, 127, 36, 22, blackboard
UPenn, Van Pelt Library, West Wing Books, 48, 23, bookshelf
UPenn, Van Pelt Library, 113, 62, 22, blackboard
UPenn, Van Pelt Library, West Wing Books, 39, 23, plant
UPenn, Van Pelt Library, West Wing Books, 43, 23, plant
UPenn, Van Pelt Library, West Wing Books, 46, 28, plant
UPenn, Van Pelt Library, West Wing Books, 51, 23, plant
UPenn, Van Pelt Library, West Wing Books, 55, 23, plant
UPenn, Van Pelt Library, West Wing Books, 39, 25, dining_table
UPenn, Van Pelt Library, West Wing Books, 51, 25, dining_table
UPenn, Van Pelt Library, West Wing Books, 39, 27, plant
UPenn, Van Pelt Library, West Wing Books, 43, 27, plant
UPenn, Van Pelt Library, West Wing Books, 39, 29, dining_table
UPenn, Van Pelt Library, West Wing Books, 51, 29, dining_table
UPenn, Van Pelt Library, 125, 20, 33, student_desk_open
UPenn, Van Pelt Library, 125, 21, 30, student_desk_quill
UPenn, Van Pelt Library, 114, 62, 34, blackboard
UPenn, Van Pelt Library, West Wing Books, 39, 33, dining_table
UPenn, Van Pelt Library, West Wing Books, 45, 33, dining_table
UPenn, Van Pelt Library, West Wing Books, 51, 33, dining_table
UPenn, Van Pelt Library, lobby, 68, 33, tile-674
UPenn, Van Pelt Library, 121, 23, 38, student_desk_open
UPenn, Van Pelt Library, 121, 23, 38, student_desk_quill
UPenn, Van Pelt Library, 122, 28, 38, student_desk_open
UPenn, Van Pelt Library, 123, 31, 38, student_desk_open
UPenn, Van Pelt Library, 123, 33, 39, student_desk_quill
UPenn, Van Pelt Library, 124, 42, 38, student_desk_open
UPenn, Van Pelt Library, 124, 44, 38, student_desk_quill
UPenn, Van Pelt Library, 124, 47, 39, teacher_desk
UPenn, Van Pelt Library, 124, 50, 38, locker
UPenn, Van Pelt Library, Kamin Gallery, 43, 46, bookshelf
UPenn, Van Pelt Library, 120, 24, 53, blackboard
UPenn, Van Pelt Library, 117, 37, 53, blackboard
UPenn, Van Pelt Library, 116, 41, 53, locker
UPenn, Van Pelt Library, Study Booths, 48, 53, locker
UPenn, Van Pelt Library, Study Booths, 49, 51, armchair
UPenn, Van Pelt Library, Study Booths, 50, 51, side_table
UPenn, Van Pelt Library, Study Booths, 52, 51, plant
UPenn, Van Pelt Library, Study Booths, 58, 53, blackboard
UPenn, Van Pelt Library, 119, 30, 55, student_desk_open
UPenn, Van Pelt Library, 118, 33, 55, student_desk_open
UPenn, Van Pelt Library, Study Booths, 50, 53, student_desk_quill
UPenn, Van Pelt Library, 113, 66, 21, table
UPenn, Van Pelt Library, Lounge, 101, 30, blackboard
UPenn, Van Pelt Library, Lounge, 95, 31, dining_table
UPenn, Van Pelt Library, Lounge, 105, 32, cushion
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 147, 34, blackboard
UPenn, Van Pelt Library, Lounge, 100, 31, plant
UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, 81, 37, blackboard
UPenn, Van Pelt Library, Lounge, 96, 34, candelabra
UPenn, Van Pelt Library, Lounge, 104, 36, candelabra
UPenn, Van Pelt Library, Staff Area, 123, 37, bookshelf
UPenn, Van Pelt Library, Microtext Collection, 133, 37, blackboard
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 142, 35, dining_table
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 149, 36, cushion
UPenn, Van Pelt Library, Lounge, 96, 36, armchair
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 144, 35, plant
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 154, 35, plant
UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, 71, 38, dining_table
UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, 83, 39, cushion
UPenn, Van Pelt Library, Staff Area, 123, 37, bookshelf
UPenn, Van Pelt Library, Microtext Collection, 129, 38, dining_table
UPenn, Van Pelt Library, Microtext Collection, 137, 38, cushion
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 149, 39, candelabra
UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, 73, 38, plant
UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, 93, 38, plant
UPenn, Van Pelt Library, Microtext Collection, 134, 38, plant
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 142, 40, dining_table
UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, 74, 41, candelabra
UPenn, Van Pelt Library, Lounge, 96, 41, cushion
UPenn, Van Pelt Library, Lounge, 102, 41, armchair
UPenn, Van Pelt Library, Microtext Collection, 130, 41, candelabra
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 144, 40, plant
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 154, 40, plant
UPenn, Van Pelt Library, Lounge, 100, 41, plant
UPenn, Van Pelt Library, Staff Area, 123, 41, bookshelf
UPenn, Van Pelt Library, Microtext Collection, 130, 43, armchair
UPenn, Van Pelt Library, Microtext Collection, 135, 43, dining_table
UPenn, Van Pelt Library, Kamin Gallery, 78, 46, bookshelf
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 142, 45, dining_table
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 149, 46, cushion
UPenn, Van Pelt Library, Lounge, 96, 49, dining_table
UPenn, Van Pelt Library, Lounge, 105, 47, cushion
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 144, 45, plant
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 154, 45, plant
UPenn, Van Pelt Library, Lounge, 100, 46, plant
UPenn, Van Pelt Library, Circulation, 113, 48, blackboard
UPenn, Van Pelt Library, Circulation, 114, 48, plant
UPenn, Van Pelt Library, Circulation, 116, 48, candelabra
UPenn, Van Pelt Library, Circulation, 119, 48, plant
UPenn, Van Pelt Library, Circulation, 124, 51, bookshelf
UPenn, Van Pelt Library, Circulation, 132, 52, bookshelf
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 142, 50, dining_table
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 149, 51, cushion
UPenn, Van Pelt Library, Lounge, 96, 51, armchair
UPenn, Van Pelt Library, Lounge, 104, 51, dining_table
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 144, 50, plant
UPenn, Van Pelt Library, Circulation, 110, 52, dining_table
UPenn, Van Pelt Library, Circulation, 118, 52, cushion
UPenn, Van Pelt Library, Circulation, 123, 52, armchair
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 152, 52, candelabra
UPenn, Van Pelt Library, Circulation, 115, 52, plant
UPenn, Van Pelt Library, Circulation, 111, 55, candelabra
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 142, 55, dining_table
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 149, 56, cushion
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 142, 60, dining_table
UPenn, Van Pelt Library, Moelis Family Grand Reading Room, 149, 61, cushion
UPenn, Meyerson Hall, Cafe, 202, 62, counter
UPenn, Meyerson Hall, Cafe, 200, 66, dining_table
UPenn, Meyerson Hall, Cafe, 204, 67, chair_wood
UPenn, Meyerson Hall, East Studio, 215, 67, dining_table
UPenn, Meyerson Hall, East Studio, 220, 66, plant
UPenn, Meyerson Hall, West Studio, 184, 68, dining_table
UPenn, Meyerson Hall, East Studio, 219, 68, chair_wood
UPenn, Meyerson Hall, West Studio, 188, 69, chair_wood
UPenn, Meyerson Hall, East Studio, 215, 73, dining_table
UPenn, Meyerson Hall, West Studio, 184, 74, dining_table
UPenn, Meyerson Hall, East Studio, 219, 74, chair_wood
UPenn, Meyerson Hall, West Studio, 188, 75, chair_wood
UPenn, Meyerson Hall, Lounge, 195, 76, sofa
UPenn, Meyerson Hall, Lounge, 202, 76, dining_table
UPenn, Meyerson Hall, East Studio, 215, 79, dining_table
UPenn, Meyerson Hall, West Studio, 184, 80, dining_table
UPenn, Meyerson Hall, East Studio, 219, 80, chair_wood
UPenn, Meyerson Hall, West Studio, 188, 81, chair_wood
UPenn, Meyerson Hall, Lounge, 195, 81, sofa
UPenn, Meyerson Hall, Lounge, 202, 81, dining_table
UPenn, Meyerson Hall, West Studio, 183, 82, plant
UPenn, Meyerson Hall, South Gallery, 184, 86, painting_moon
UPenn, Meyerson Hall, South Gallery, 193, 86, painting_moon_light
UPenn, Meyerson Hall, South Gallery, 200, 87, cabinet_display
UPenn, Meyerson Hall, South Gallery, 204, 87, cabinet_display
UPenn, Meyerson Hall, East Offices, 214, 88, teacher_desk
UPenn, Meyerson Hall, East Offices, 218, 88, student_desk
UPenn, Meyerson Hall, East Offices, 214, 92, teacher_desk
UPenn, Meyerson Hall, East Offices, 218, 92, student_desk
UPenn, Meyerson Hall, South Gallery, 189, 92, plant_large
UPenn, Meyerson Hall, South Gallery, 199, 92, plant
UPenn, Meyerson Hall, East Offices, 220, 94, plant
UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, 201, 118, bookshelf_wood_books
UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, 204, 118, bookshelf_wood_books
UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, 207, 118, bookshelf_wood_books
UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, 210, 118, bookshelf_wood_books
UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, 206, 121, armchair
UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, 211, 121, armchair
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 198, 126, plant
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 201, 126, bookshelf_wood_books
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 204, 126, bookshelf_wood_books
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 207, 126, bookshelf_wood_books
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 210, 126, bookshelf_wood_books
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 213, 126, fireplace
UPenn, Fisher Fine Arts Library, Fisher Rare Books Library, 221, 139, bookshelf_tan
UPenn, Fisher Fine Arts Library, Fisher Rare Books Library, 221, 139, bookshelf_tan
UPenn, Fisher Fine Arts Library, Fisher Rare Books Library, 225, 139, cabinet_display
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 201, 131, dining_table
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 208, 131, dining_table
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 205, 132, candelabra
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 201, 137, dining_table
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 208, 137, dining_table
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 205, 138, candelabra
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 201, 143, dining_table
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 208, 143, dining_table
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 205, 144, candelabra
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 201, 148, dining_table
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 208, 148, dining_table
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 198, 149, candelabra
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 205, 150, candelabra
UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, 215, 149, plant
UPenn, Fisher Fine Arts Library, Ross Gallery, 192, 153, sofa
UPenn, Fisher Fine Arts Library, Ross Gallery, 194, 153, plant_large
UPenn, Fisher Fine Arts Library, Computing & Printing, 200, 158, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 203, 158, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 206, 158, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 209, 158, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 212, 158, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 215, 158, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 218, 158, books_green
UPenn, Fisher Fine Arts Library, Ross Gallery, 189, 158, candelabra
UPenn, Fisher Fine Arts Library, Computing & Printing, 200, 163, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 203, 163, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 206, 163, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 209, 163, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 212, 163, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 215, 163, books_green
UPenn, Fisher Fine Arts Library, Computing & Printing, 218, 163, books_green
UPenn, Fisher Fine Arts Library, Ross Gallery, 189, 166, cabinet_display
UPenn, Fisher Fine Arts Library, Ross Gallery, 195, 166, plant
UPenn, Fisher Fine Arts Library, Computing & Printing, 200, 166, plant
UPenn, Fisher Fine Arts Library, Staff Office, 193, 172, fireplace
UPenn, Fisher Fine Arts Library, Staff Office, 196, 171, plant
UPenn, Fisher Fine Arts Library, Staff Office, 200, 172, dining_table
UPenn, Fisher Fine Arts Library, Staff Office, 208, 172, dining_table
UPenn, Fisher Fine Arts Library, Staff Office, 220, 177, crate
UPenn, College Hall, Kitchen Out, 117, 154, counter
UPenn, College Hall, Kitchen Out, 119, 154, counter
UPenn, College Hall, Kitchen Out, 121, 154, counter
UPenn, College Hall, Kitchen Out, 123, 157, barrel
UPenn, College Hall, Kitchen In, 111, 161, dining_table_light
UPenn, College Hall, Kitchen In, 115, 161, dining_table_light
UPenn, College Hall, Kitchen In, 119, 161, dining_table_light
UPenn, College Hall, Kitchen In, 123, 160, counter
UPenn, College Hall, Restrooms, 127, 161, toilet
UPenn, College Hall, Restrooms, 129, 161, sink
UPenn, College Hall, Restrooms, 131, 160, mirror
UPenn, College Hall, West Wing, 86, 166, blackboard
UPenn, College Hall, West Wing, 91, 166, teacher_desk
UPenn, College Hall, Central Hall, 137, 166, plant
UPenn, College Hall, East Wing, 140, 167, bookshelf_wood_books
UPenn, College Hall, East Wing, 143, 167, bookshelf_wood_books
UPenn, College Hall, East Wing, 146, 167, bookshelf_wood_books
UPenn, College Hall, East Wing, 149, 167, bookshelf_wood_books
UPenn, College Hall, East Wing, 152, 167, bookshelf_wood_books
UPenn, College Hall, East Wing, 155, 167, bookshelf_wood_books
UPenn, College Hall, Central Hall, 106, 168, grandfather_clock
UPenn, College Hall, Central Hall, 117, 167, sofa
UPenn, College Hall, Central Hall, 127, 167, sofa
UPenn, College Hall, West Wing, 84, 169, student_desk
UPenn, College Hall, West Wing, 87, 169, student_desk
UPenn, College Hall, West Wing, 90, 169, student_desk
UPenn, College Hall, West Wing, 93, 169, student_desk
UPenn, College Hall, West Wing, 96, 169, student_desk
UPenn, College Hall, West Wing, 99, 169, student_desk
UPenn, College Hall, West Wing, 102, 169, student_desk
UPenn, College Hall, Central Hall, 112, 168, armchair
UPenn, College Hall, Central Hall, 122, 168, armchair
UPenn, College Hall, Central Hall, 132, 168, armchair
UPenn, College Hall, East Wing, 141, 171, teacher_desk
UPenn, College Hall, East Wing, 145, 171, teacher_desk
UPenn, College Hall, East Wing, 149, 171, teacher_desk
UPenn, College Hall, East Wing, 153, 171, teacher_desk
UPenn, College Hall, East Wing, 157, 171, teacher_desk
UPenn, College Hall, West Wing, 84, 172, student_desk
UPenn, College Hall, West Wing, 87, 172, student_desk
UPenn, College Hall, West Wing, 90, 172, student_desk
UPenn, College Hall, West Wing, 93, 172, student_desk
UPenn, College Hall, West Wing, 96, 172, student_desk
UPenn, College Hall, West Wing, 99, 172, student_desk
UPenn, College Hall, West Wing, 102, 172, student_desk
UPenn, College Hall, Central Hall, 114, 175, cushion
UPenn, College Hall, Central Hall, 124, 175, cushion_red
UPenn, College Hall, Central Hall, 129, 175, cushion_orange
UPenn, College Hall, West Wing, 84, 175, student_desk
UPenn, College Hall, West Wing, 87, 175, student_desk
UPenn, College Hall, West Wing, 90, 175, student_desk
UPenn, College Hall, West Wing, 93, 175, student_desk
UPenn, College Hall, West Wing, 96, 175, student_desk
UPenn, College Hall, West Wing, 99, 175, student_desk
UPenn, College Hall, West Wing, 102, 175, student_desk
UPenn, College Hall, East Wing, 141, 175, teacher_desk
UPenn, College Hall, East Wing, 145, 175, teacher_desk
UPenn, College Hall, East Wing, 149, 175, teacher_desk
UPenn, College Hall, East Wing, 153, 175, teacher_desk
UPenn, College Hall, East Wing, 157, 175, teacher_desk
UPenn, College Hall, West Wing, 84, 178, student_desk
UPenn, College Hall, West Wing, 87, 178, student_desk
UPenn, College Hall, West Wing, 90, 178, student_desk
UPenn, College Hall, West Wing, 93, 178, student_desk
UPenn, College Hall, West Wing, 96, 178, student_desk
UPenn, College Hall, West Wing, 99, 178, student_desk
UPenn, College Hall, West Wing, 102, 178, student_desk
UPenn, College Hall, East Wing, 141, 179, teacher_desk
UPenn, College Hall, East Wing, 145, 179, teacher_desk
