1, UPenn, Claudia Cohen Hall, Cafeteria 1, dining_table
35, UPenn, Sweeten Alumni Building, Room 1: Kitchen, basket_fruit
36, UPenn, Sweeten Alumni Building, Room 1: Kitchen, food_sausage
37, UPenn, Sweeten Alumni Building, Room 1: Kitchen, dining_table
38, UPenn, Sweeten Alumni Building, Room 1: BD 3, bed_single_made
39, UPenn, Sweeten Alumni Building, Room 1: BD 3, student_desk
40, UPenn, Sweeten Alumni Building, Room 1: Living Room, plant_large
41, UPenn, Sweeten Alumni Building, Room 2: Kitchen, basket_fruit
42, UPenn, Sweeten Alumni Building, Room 2: Kitchen, food_sausage
43, UPenn, Sweeten Alumni Building, Room 2: BD 3, bed_single_made
44, UPenn, Sweeten Alumni Building, Room 2: BD 3, student_desk
45, UPenn, Sweeten Alumni Building, Room 2: Living Room, dining_table
46, UPenn, Sweeten Alumni Building, Room 2: Living Room, fireplace
47, UPenn, Sweeten Alumni Building, Room 1: BD 4, bed_single_made
48, UPenn, Sweeten Alumni Building, Room 1: BD 4, student_desk
49, UPenn, Sweeten Alumni Building, Room 2: BD 4, bed_single_made
50, UPenn, Sweeten Alumni Building, Room 2: BD 4, student_desk
51, UPenn, Sweeten Alumni Building, Room 1: Living Room, cushion
52, UPenn, Sweeten Alumni Building, Room 1: Living Room, plant_large
53, UPenn, Sweeten Alumni Building, Room 2: BR 2, toilet
54, UPenn, Sweeten Alumni Building, Room 2: BR 2, mirror
55, UPenn, Sweeten Alumni Building, Room 1: BR 1, toilet
56, UPenn, Sweeten Alumni Building, Room 2: BR 1, toilet
57, UPenn, Sweeten Alumni Building, Room 2: BR 1, mirror
58, UPenn, Houston Hall, Bathroom, toilet
59, UPenn, Houston Hall, Bathroom, sink
60, UPenn, Houston Hall, Bathroom, mirror
61, UPenn, Houston Hall, Bathroom, towels
62, UPenn, Houston Hall, Chess Room, food_ham
63, UPenn, Houston Hall, Chess Room, food_salad
64, UPenn, Houston Hall, Reception Hall, plant
65, UPenn, Houston Hall, Reception Hall, plant
66, UPenn, Houston Hall, Billiard Room, dining_table
67, UPenn, Houston Hall, Billiard Room, dining_table
68, UPenn, Houston Hall, Billiard Room, dining_table
69, UPenn, Houston Hall, Reception Hall, sofa
70, UPenn, Houston Hall, Reading Room, bookshelf_wood_books
71, UPenn, Houston Hall, Chess Room, food_fish
72, UPenn, Houston Hall, Chess Room, bread
73, UPenn, Houston Hall, Reception Hall, cushion
74, UPenn, Houston Hall, Reception Hall, cushion_orange
75, UPenn, Houston Hall, Reception Hall, cushion
76, UPenn, Houston Hall, Reception Hall, cushion_orange
77, UPenn, Houston Hall, Reception Hall, round_table_small
78, UPenn, Houston Hall, Reception Hall, round_table_small
79, UPenn, Houston Hall, Reading Room, armchair
80, UPenn, Houston Hall, Reception Hall, candelabra
81, UPenn, Houston Hall, Chess Room, food_bowl
82, UPenn, Houston Hall, Chess Room, basket_fruit
83, UPenn, Houston Hall, Reception Hall, cushion_cream
84, UPenn, Houston Hall, Reception Hall, cushion_red
85, UPenn, Houston Hall, Reception Hall, cushion_cream
86, UPenn, Houston Hall, Reception Hall, cushion_red
87, UPenn, Houston Hall, Billiard Room, dining_table
88, UPenn, Houston Hall, Billiard Room, dining_table
89, UPenn, Houston Hall, Billiard Room, dining_table
90, UPenn, Houston Hall, Reception Hall, sofa
91, UPenn, Houston Hall, Chess Room, plant
92, UPenn, Houston Hall, Billiard Room, plant
93, UPenn, Houston Hall, Reception Hall, plant
94, UPenn, Houston Hall, Reading Room, armchair
95, UPenn, Houston Hall, Correspond, inkwell
96, UPenn, Houston Hall, Correspond, quill_ink
97, UPenn, Houston Hall, Correspond, bookshelf_tan
98, UPenn, Houston Hall, Shuffle Board Room, plant
99, UPenn, Houston Hall, Ladies Parlor, piano_upright
100, UPenn, Houston Hall, Secretarys Office, bookshelf
101, UPenn, Houston Hall, Shuffle Board Room, dining_table
102, UPenn, Houston Hall, Shuffle Board Room, dining_table
103, UPenn, Houston Hall, Ladies Parlor, sofa
104, UPenn, Houston Hall, Correspond, inkwell
105, UPenn, Houston Hall, Correspond, quill_ink
106, UPenn, Houston Hall, Reading Room, armchair
107, UPenn, Houston Hall, Shuffle Board Room, stool_wood
108, UPenn, Houston Hall, lobby, plant
109, UPenn, Houston Hall, Secretarys Office, plant
110, UPenn, Houston Hall, Correspond, inkwell
111, UPenn, Houston Hall, Correspond, quill_ink
112, UPenn, Irvine Auditorium, Stage, lantern
113, UPenn, Irvine Auditorium, Stage, candelabra
114, UPenn, Irvine Auditorium, Stage, candelabra
115, UPenn, Irvine Auditorium, Stage, music_stand
116, UPenn, Irvine Auditorium, Stage, music_stand
117, UPenn, Irvine Auditorium, Stage, music_stand
118, UPenn, Irvine Auditorium, Stage, music_stand
119, UPenn, Irvine Auditorium, Stage, music_stand
120, UPenn, Irvine Auditorium, Stage, music_stand
121, UPenn, Irvine Auditorium, Stage, plant_large
122, UPenn, Irvine Auditorium, West Foyer, lantern
123, UPenn, Irvine Auditorium, West Foyer, plant
124, UPenn, Irvine Auditorium, East Foyer, plant
125, UPenn, Irvine Auditorium, East Foyer, lantern
126, UPenn, Irvine Auditorium, Auditorium, chair_wood
127, UPenn, Irvine Auditorium, Auditorium, chair_wood
128, UPenn, Irvine Auditorium, East Foyer, sofa
129, UPenn, Irvine Auditorium, West Foyer, armchair
130, UPenn, Irvine Auditorium, Auditorium, chair_wood
131, UPenn, Irvine Auditorium, Auditorium, chair_wood
132, UPenn, Irvine Auditorium, East Foyer, armchair
133, UPenn, Irvine Auditorium, West Foyer, side_table
134, UPenn, Irvine Auditorium, East Foyer, side_table
135, UPenn, Irvine Auditorium, Auditorium, chair_wood
136, UPenn, Irvine Auditorium, Auditorium, chair_wood
137, UPenn, Irvine Auditorium, West Foyer, armchair_orange
138, UPenn, Irvine Auditorium, East Foyer, armchair_orange
139, UPenn, Irvine Auditorium, Auditorium, chair_wood
140, UPenn, Irvine Auditorium, Auditorium, chair_wood
141, UPenn, Irvine Auditorium, West Foyer, sofa
142, UPenn, Irvine Auditorium, East Foyer, sofa
143, UPenn, Irvine Auditorium, West Foyer, round_table_small
144, UPenn, Irvine Auditorium, Auditorium, chair_wood
145, UPenn, Irvine Auditorium, Auditorium, chair_wood
146, UPenn, Irvine Auditorium, East Foyer, round_table_small
147, UPenn, Irvine Auditorium, Auditorium, chair_wood
148, UPenn, Irvine Auditorium, Auditorium, chair_wood
149, UPenn, Irvine Auditorium, West Foyer, floor_lamp
150, UPenn, Irvine Auditorium, East Foyer, floor_lamp
151, UPenn, Irvine Auditorium, Auditorium, chair_wood
152, UPenn, Irvine Auditorium, Auditorium, chair_wood
153, UPenn, Irvine Auditorium, West Foyer, plant
154, UPenn, Irvine Auditorium, West Foyer, plant
155, UPenn, Irvine Auditorium, East Foyer, plant
156, UPenn, Irvine Auditorium, Lobby, plant
157, UPenn, Irvine Auditorium, Lobby, lantern
158, UPenn, Irvine Auditorium, Lobby, lantern
159, UPenn, Irvine Auditorium, Lobby, plant
160, UPenn, Irvine Auditorium, Lobby, counter
161, UPenn, Irvine Auditorium, Lobby, floor_lamp
162, UPenn, Irvine Auditorium, Lobby, sofa
163, UPenn, Irvine Auditorium, Lobby, sofa
164, UPenn, Irvine Auditorium, Lobby, floor_lamp
165, UPenn, Irvine Auditorium, Lobby, plant
166, UPenn, Irvine Auditorium, Lobby, plant
167, UPenn, Van Pelt Library, 126, blackboard
168, UPenn, Van Pelt Library, 126, locker
169, UPenn, Van Pelt Library, 127, blackboard
170, UPenn, Van Pelt Library, West Wing Books, bookshelf
171, UPenn, Van Pelt Library, 113, blackboard
172, UPenn, Van Pelt Library, West Wing Books, plant
173, UPenn, Van Pelt Library, West Wing Books, plant
174, UPenn, Van Pelt Library, West Wing Books, plant
175, UPenn, Van Pelt Library, West Wing Books, plant
176, UPenn, Van Pelt Library, West Wing Books, plant
177, UPenn, Van Pelt Library, West Wing Books, dining_table
178, UPenn, Van Pelt Library, West Wing Books, dining_table
179, UPenn, Van Pelt Library, West Wing Books, plant
180, UPenn, Van Pelt Library, West Wing Books, plant
181, UPenn, Van Pelt Library, West Wing Books, dining_table
182, UPenn, Van Pelt Library, West Wing Books, dining_table
183, UPenn, Van Pelt Library, 125, student_desk_open
184, UPenn, Van Pelt Library, 125, student_desk_quill
185, UPenn, Van Pelt Library, 114, blackboard
186, UPenn, Van Pelt Library, West Wing Books, dining_table
187, UPenn, Van Pelt Library, West Wing Books, dining_table
188, UPenn, Van Pelt Library, West Wing Books, dining_table
189, UPenn, Van Pelt Library, lobby, tile-674
190, UPenn, Van Pelt Library, 121, student_desk_open
191, UPenn, Van Pelt Library, 121, student_desk_quill
192, UPenn, Van Pelt Library, 122, student_desk_open
193, UPenn, Van Pelt Library, 123, student_desk_open
194, UPenn, Van Pelt Library, 123, student_desk_quill
195, UPenn, Van Pelt Library, 124, student_desk_open
196, UPenn, Van Pelt Library, 124, student_desk_quill
197, UPenn, Van Pelt Library, 124, teacher_desk
198, UPenn, Van Pelt Library, 124, locker
199, UPenn, Van Pelt Library, Kamin Gallery, bookshelf
200, UPenn, Van Pelt Library, 120, blackboard
201, UPenn, Van Pelt Library, 117, blackboard
202, UPenn, Van Pelt Library, 116, locker
203, UPenn, Van Pelt Library, Study Booths, locker
204, UPenn, Van Pelt Library, Study Booths, armchair
205, UPenn, Van Pelt Library, Study Booths, side_table
206, UPenn, Van Pelt Library, Study Booths, plant
207, UPenn, Van Pelt Library, Study Booths, blackboard
208, UPenn, Van Pelt Library, 119, student_desk_open
209, UPenn, Van Pelt Library, 118, student_desk_open
210, UPenn, Van Pelt Library, Study Booths, student_desk_quill
211, UPenn, Van Pelt Library, 113, table
212, UPenn, Van Pelt Library, Lounge, blackboard
213, UPenn, Van Pelt Library, Hallway, rug_blue
214, UPenn, Van Pelt Library, Lounge, dining_table
215, UPenn, Van Pelt Library, Lounge, cushion
216, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, blackboard
217, UPenn, Van Pelt Library, Lounge, plant
218, UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, blackboard
219, UPenn, Van Pelt Library, Lounge, candelabra
220, UPenn, Van Pelt Library, Lounge, candelabra
221, UPenn, Van Pelt Library, Staff Area, bookshelf
222, UPenn, Van Pelt Library, Microtext Collection, blackboard
223, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, dining_table
224, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, cushion
225, UPenn, Van Pelt Library, Lounge, armchair
226, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, plant
227, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, plant
228, UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, dining_table
229, UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, cushion
230, UPenn, Van Pelt Library, Staff Area, bookshelf
231, UPenn, Van Pelt Library, Microtext Collection, dining_table
232, UPenn, Van Pelt Library, Microtext Collection, cushion
233, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, candelabra
234, UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, plant
235, UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, plant
236, UPenn, Van Pelt Library, Microtext Collection, plant
237, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, dining_table
238, UPenn, Van Pelt Library, Research Data and Digital Scholarship Exchange, candelabra
239, UPenn, Van Pelt Library, Lounge, cushion
240, UPenn, Van Pelt Library, Lounge, armchair
241, UPenn, Van Pelt Library, Lounge, rug_blue
242, UPenn, Van Pelt Library, Microtext Collection, candelabra
243, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, plant
244, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, plant
245, UPenn, Van Pelt Library, Lounge, plant
246, UPenn, Van Pelt Library, Staff Area, bookshelf
247, UPenn, Van Pelt Library, Microtext Collection, armchair
248, UPenn, Van Pelt Library, Microtext Collection, dining_table
249, UPenn, Van Pelt Library, Kamin Gallery, bookshelf
250, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, dining_table
251, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, cushion
252, UPenn, Van Pelt Library, Lounge, dining_table
253, UPenn, Van Pelt Library, Lounge, cushion
254, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, plant
255, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, plant
256, UPenn, Van Pelt Library, Lounge, plant
257, UPenn, Van Pelt Library, Circulation, blackboard
258, UPenn, Van Pelt Library, Circulation, plant
259, UPenn, Van Pelt Library, Circulation, candelabra
260, UPenn, Van Pelt Library, Circulation, plant
261, UPenn, Van Pelt Library, Circulation, bookshelf
262, UPenn, Van Pelt Library, Circulation, bookshelf
263, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, dining_table
264, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, cushion
265, UPenn, Van Pelt Library, Lounge, armchair
266, UPenn, Van Pelt Library, Lounge, dining_table
267, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, plant
268, UPenn, Van Pelt Library, Circulation, dining_table
269, UPenn, Van Pelt Library, Circulation, cushion
270, UPenn, Van Pelt Library, Circulation, armchair
271, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, candelabra
272, UPenn, Van Pelt Library, Circulation, plant
273, UPenn, Van Pelt Library, Circulation, candelabra
274, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, dining_table
275, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, cushion
276, UPenn, Van Pelt Library, Entrance, rug_blue
277, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, dining_table
278, UPenn, Van Pelt Library, Moelis Family Grand Reading Room, cushion
279, UPenn, Meyerson Hall, Cafe, counter
280, UPenn, Meyerson Hall, Cafe, dining_table
281, UPenn, Meyerson Hall, Cafe, chair_wood
282, UPenn, Meyerson Hall, East Studio, dining_table
283, UPenn, Meyerson Hall, East Studio, plant
284, UPenn, Meyerson Hall, West Studio, dining_table
285, UPenn, Meyerson Hall, East Studio, chair_wood
286, UPenn, Meyerson Hall, West Studio, chair_wood
287, UPenn, Meyerson Hall, Cafe, clockwork_lamp_floor
288, UPenn, Meyerson Hall, East Studio, dining_table
289, UPenn, Meyerson Hall, West Studio, dining_table
290, UPenn, Meyerson Hall, East Studio, chair_wood
291, UPenn, Meyerson Hall, West Studio, chair_wood
292, UPenn, Meyerson Hall, Lounge, sofa
293, UPenn, Meyerson Hall, Lounge, dining_table
294, UPenn, Meyerson Hall, East Studio, dining_table
295, UPenn, Meyerson Hall, West Studio, dining_table
296, UPenn, Meyerson Hall, East Studio, chair_wood
297, UPenn, Meyerson Hall, West Studio, chair_wood
298, UPenn, Meyerson Hall, Lounge, sofa
299, UPenn, Meyerson Hall, Lounge, dining_table
300, UPenn, Meyerson Hall, West Studio, plant
301, UPenn, Meyerson Hall, South Gallery, painting_moon
302, UPenn, Meyerson Hall, South Gallery, painting_moon_light
303, UPenn, Meyerson Hall, South Gallery, cabinet_display
304, UPenn, Meyerson Hall, South Gallery, cabinet_display
305, UPenn, Meyerson Hall, East Offices, teacher_desk
306, UPenn, Meyerson Hall, East Offices, student_desk
307, UPenn, Meyerson Hall, East Offices, teacher_desk
308, UPenn, Meyerson Hall, East Offices, student_desk
309, UPenn, Meyerson Hall, South Gallery, plant_large
310, UPenn, Meyerson Hall, South Gallery, plant
311, UPenn, Meyerson Hall, East Offices, plant
312, UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, bookshelf_wood_books
313, UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, bookshelf_wood_books
314, UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, bookshelf_wood_books
315, UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, bookshelf_wood_books
316, UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, armchair
317, UPenn, Fisher Fine Arts Library, Fisher Core Reading Section, armchair
318, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, plant
319, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, bookshelf_wood_books
320, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, bookshelf_wood_books
321, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, bookshelf_wood_books
322, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, bookshelf_wood_books
323, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, fireplace
324, UPenn, Fisher Fine Arts Library, Fisher Rare Books Library, bookshelf_tan
325, UPenn, Fisher Fine Arts Library, Fisher Rare Books Library, bookshelf_tan
326, UPenn, Fisher Fine Arts Library, Fisher Rare Books Library, cabinet_display
327, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, dining_table
328, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, dining_table
329, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, candelabra
330, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, dining_table
331, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, dining_table
332, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, candelabra
333, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, dining_table
334, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, dining_table
335, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, candelabra
336, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, dining_table
337, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, dining_table
338, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, candelabra
339, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, candelabra
340, UPenn, Fisher Fine Arts Library, Seng Tee Lee Reading Room, plant
341, UPenn, Fisher Fine Arts Library, Ross Gallery, sofa
342, UPenn, Fisher Fine Arts Library, Ross Gallery, plant_large
343, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
344, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
345, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
346, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
347, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
348, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
349, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
350, UPenn, Fisher Fine Arts Library, Ross Gallery, candelabra
351, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
352, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
353, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
354, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
355, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
356, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
357, UPenn, Fisher Fine Arts Library, Computing & Printing, books_green
358, UPenn, Fisher Fine Arts Library, Ross Gallery, cabinet_display
359, UPenn, Fisher Fine Arts Library, Ross Gallery, plant
360, UPenn, Fisher Fine Arts Library, Computing & Printing, plant
361, UPenn, Fisher Fine Arts Library, Staff Office, fireplace
362, UPenn, Fisher Fine Arts Library, Staff Office, plant
363, UPenn, Fisher Fine Arts Library, Staff Office, dining_table
364, UPenn, Fisher Fine Arts Library, Staff Office, dining_table
365, UPenn, Fisher Fine Arts Library, Staff Office, crate
366, UPenn, College Hall, Kitchen Out, counter
367, UPenn, College Hall, Kitchen Out, counter
368, UPenn, College Hall, Kitchen Out, counter
369, UPenn, College Hall, Kitchen Out, barrel
370, UPenn, College Hall, Kitchen In, dining_table_light
371, UPenn, College Hall, Kitchen In, dining_table_light
372, UPenn, College Hall, Kitchen In, dining_table_light
373, UPenn, College Hall, Kitchen In, counter
374, UPenn, College Hall, Restrooms, toilet
375, UPenn, College Hall, Restrooms, sink
376, UPenn, College Hall, Restrooms, mirror
377, UPenn, College Hall, West Wing, blackboard
378, UPenn, College Hall, West Wing, teacher_desk
379, UPenn, College Hall, Central Hall, plant
380, UPenn, College Hall, East Wing, bookshelf_wood_books
381, UPenn, College Hall, East Wing, bookshelf_wood_books
382, UPenn, College Hall, East Wing, bookshelf_wood_books
383, UPenn, College Hall, East Wing, bookshelf_wood_books
384, UPenn, College Hall, East Wing, bookshelf_wood_books
385, UPenn, College Hall, East Wing, bookshelf_wood_books
386, UPenn, College Hall, Central Hall, grandfather_clock
387, UPenn, College Hall, Central Hall, sofa
388, UPenn, College Hall, Central Hall, sofa
389, UPenn, College Hall, West Wing, student_desk
390, UPenn, College Hall, West Wing, student_desk
391, UPenn, College Hall, West Wing, student_desk
392, UPenn, College Hall, West Wing, student_desk
393, UPenn, College Hall, West Wing, student_desk
394, UPenn, College Hall, West Wing, student_desk
395, UPenn, College Hall, West Wing, student_desk
396, UPenn, College Hall, Central Hall, armchair
397, UPenn, College Hall, Central Hall, armchair
398, UPenn, College Hall, Central Hall, armchair
399, UPenn, College Hall, East Wing, teacher_desk
400, UPenn, College Hall, East Wing, teacher_desk
401, UPenn, College Hall, East Wing, teacher_desk
402, UPenn, College Hall, East Wing, teacher_desk
403, UPenn, College Hall, East Wing, teacher_desk
404, UPenn, College Hall, West Wing, student_desk
405, UPenn, College Hall, West Wing, student_desk
406, UPenn, College Hall, West Wing, student_desk
407, UPenn, College Hall, West Wing, student_desk
408, UPenn, College Hall, West Wing, student_desk
409, UPenn, College Hall, West Wing, student_desk
410, UPenn, College Hall, West Wing, student_desk
411, UPenn, College Hall, Central Hall, cushion
412, UPenn, College Hall, Central Hall, cushion_red
413, UPenn, College Hall, Central Hall, cushion_orange
414, UPenn, College Hall, West Wing, student_desk
415, UPenn, College Hall, West Wing, student_desk
416, UPenn, College Hall, West Wing, student_desk
417, UPenn, College Hall, West Wing, student_desk
418, UPenn, College Hall, West Wing, student_desk
419, UPenn, College Hall, West Wing, student_desk
420, UPenn, College Hall, West Wing, student_desk
421, UPenn, College Hall, East Wing, teacher_desk
422, UPenn, College Hall, East Wing, teacher_desk
423, UPenn, College Hall, East Wing, teacher_desk
424, UPenn, College Hall, East Wing, teacher_desk
425, UPenn, College Hall, East Wing, teacher_desk
426, UPenn, College Hall, West Wing, student_desk
427, UPenn, College Hall, West Wing, student_desk
428, UPenn, College Hall, West Wing, student_desk
429, UPenn, College Hall, West Wing, student_desk
430, UPenn, College Hall, West Wing, student_desk
431, UPenn, College Hall, West Wing, student_desk
432, UPenn, College Hall, West Wing, student_desk
433, UPenn, College Hall, East Wing, teacher_desk
434, UPenn, College Hall, East Wing, teacher_desk
435, UPenn, College Hall, East Wing, teacher_desk
436, UPenn, College Hall, East Wing, teacher_desk
437, UPenn, College Hall, East Wing, teacher_desk
438, UPenn, College Hall, Central Hall, plant
439, UPenn, College Hall, Central Hall, plant
440, UPenn, College Hall, West Pavilion 1, sofa
441, UPenn, College Hall, West Pavilion 2, student_desk
442, UPenn, College Hall, West Pavilion 2, student_desk
443, UPenn, College Hall, Great Hall, plant
444, UPenn, College Hall, West Pavilion 1, side_table
445, UPenn, College Hall, Great Hall, dining_table_light
446, UPenn, College Hall, East Pavilion 1, teacher_desk
447, UPenn, College Hall, East Pavilion 2, teacher_desk
448, UPenn, College Hall, East Pavilion 2, bookshelf_wood_books
449, UPenn, College Hall, West Pavilion 2, plant
450, UPenn, College Hall, Great Hall, chair_wood
451, UPenn, College Hall, East Pavilion 1, plant
452, UPenn, College Hall, Great Hall, dining_table_light
453, UPenn, College Hall, East Pavilion 2, teacher_desk
454, UPenn, College Hall, Great Hall, chair_wood
455, UPenn, College Hall, West Pavilion 1, plant
456, UPenn, College Hall, Great Hall, plant
457, UPenn, College Hall, East Pavilion 2, teacher_desk
458, UPenn, College Hall, East Pavilion 2, plant
459, UPenn, Williams Hall, Classroom A, blackboard
460, UPenn, Williams Hall, Classroom B, blackboard_blank
461, UPenn, Williams Hall, Classroom A, student_desk
462, UPenn, Williams Hall, Classroom A, student_desk
463, UPenn, Williams Hall, Classroom A, student_desk
464, UPenn, Williams Hall, Classroom A, student_desk
465, UPenn, Williams Hall, Classroom A, student_desk
466, UPenn, Williams Hall, Classroom A, student_desk
467, UPenn, Williams Hall, Classroom A, student_desk
468, UPenn, Williams Hall, Classroom A, student_desk
469, UPenn, Williams Hall, lobby, plant
470, UPenn, Williams Hall, lobby, rug_blue
471, UPenn, Williams Hall, Classroom B, student_desk
472, UPenn, Williams Hall, Classroom B, student_desk
473, UPenn, Williams Hall, Classroom B, student_desk
474, UPenn, Williams Hall, Classroom B, student_desk
475, UPenn, Williams Hall, Classroom B, student_desk
476, UPenn, Williams Hall, Classroom B, student_desk
477, UPenn, Williams Hall, Classroom B, student_desk
478, UPenn, Williams Hall, Classroom A, student_desk
479, UPenn, Williams Hall, Classroom A, student_desk
480, UPenn, Williams Hall, Classroom A, student_desk
481, UPenn, Williams Hall, Classroom A, student_desk
482, UPenn, Williams Hall, lobby, plant
483, UPenn, Williams Hall, lobby, plant
484, UPenn, Williams Hall, lobby, side_table
485, UPenn, Williams Hall, Office, bookshelf
486, UPenn, Williams Hall, Classroom C, blackboard
487, UPenn, Williams Hall, Office, teacher_desk
488, UPenn, Williams Hall, lobby, sofa
489, UPenn, Williams Hall, Restroom, toilet
490, UPenn, Williams Hall, Restroom, sink
491, UPenn, Williams Hall, lobby, plant
492, UPenn, Williams Hall, Restroom, toilet
493, UPenn, Williams Hall, Restroom, bathmat
494, UPenn, Williams Hall, Restroom, sink
